SeqNo,Date,UTC Time,Time,IOvector
316,1/17/2019,45:17.0, 000:02:39.086,4194986
317,1/17/2019,45:17.7, 000:02:39.823,4196010
318,1/17/2019,45:17.8, 000:02:39.845,4198058
319,1/17/2019,45:18.8, 000:02:40.851,4196010
320,1/17/2019,45:18.8, 000:02:40.865,4194986
321,1/17/2019,45:19.0, 000:02:41.122,4211370
322,1/17/2019,45:20.1, 000:02:42.169,4194986
323,1/17/2019,45:20.5, 000:02:42.603,74410
324,1/17/2019,45:20.6, 000:02:42.685,74282
325,1/17/2019,45:20.7, 000:02:42.827,66090
326,1/17/2019,45:20.9, 000:02:42.945,618
327,1/17/2019,45:20.9, 000:02:43.001,554
328,1/17/2019,45:21.2, 000:02:43.238,682
329,1/17/2019,45:22.2, 000:02:44.240,1049258
330,1/17/2019,45:22.2, 000:02:44.304,1049250
331,1/17/2019,45:22.5, 000:02:44.570,2097830
332,1/17/2019,45:22.6, 000:02:44.683,2097826
333,1/17/2019,45:22.9, 000:02:44.963,4194986
334,1/17/2019,45:25.6, 000:02:47.713,4196010
335,1/17/2019,45:26.7, 000:02:48.792,4194986
336,1/17/2019,45:26.9, 000:02:49.025,148138
337,1/17/2019,45:27.0, 000:02:49.071,147626
338,1/17/2019,45:27.2, 000:02:49.237,131242
339,1/17/2019,45:27.3, 000:02:49.347,426
340,1/17/2019,45:27.3, 000:02:49.406,170
341,1/17/2019,45:27.6, 000:02:49.648,682
342,1/17/2019,45:28.6, 000:02:50.652,262826
343,1/17/2019,45:28.7, 000:02:50.752,262824
344,1/17/2019,45:28.9, 000:02:50.989,524969
345,1/17/2019,45:29.0, 000:02:51.117,524968
346,1/17/2019,45:29.3, 000:02:51.373,4194986
347,1/17/2019,45:30.0, 000:02:52.093,4196010
348,1/17/2019,45:30.3, 000:02:52.407,4198058
349,1/17/2019,45:31.0, 000:02:53.059,4196010
350,1/17/2019,45:31.0, 000:02:53.112,4194986
351,1/17/2019,45:31.3, 000:02:53.384,4211370
352,1/17/2019,45:32.3, 000:02:54.402,4194986
353,1/17/2019,45:32.8, 000:02:54.879,74410
354,1/17/2019,45:32.9, 000:02:54.955,74282
355,1/17/2019,45:33.0, 000:02:55.127,66090
356,1/17/2019,45:33.1, 000:02:55.221,618
357,1/17/2019,45:33.2, 000:02:55.277,554
358,1/17/2019,45:33.4, 000:02:55.515,682
359,1/17/2019,45:34.4, 000:02:56.517,1049258
360,1/17/2019,45:34.5, 000:02:56.581,1049250
361,1/17/2019,45:34.8, 000:02:56.851,2097830
362,1/17/2019,45:34.9, 000:02:56.969,2097826
363,1/17/2019,45:35.2, 000:02:57.249,4194986
364,1/17/2019,45:39.3, 000:03:01.370,4211370
365,1/17/2019,45:40.2, 000:03:02.298,4194986
366,1/17/2019,45:40.8, 000:03:02.852,4203178
367,1/17/2019,45:41.7, 000:03:03.774,4194986
368,1/17/2019,45:42.2, 000:03:04.310,37546
369,1/17/2019,45:42.3, 000:03:04.393,37514
370,1/17/2019,45:42.4, 000:03:04.506,33418
371,1/17/2019,45:42.6, 000:03:04.683,666
372,1/17/2019,45:42.7, 000:03:04.749,650
373,1/17/2019,45:42.9, 000:03:04.996,682
374,1/17/2019,45:43.9, 000:03:05.999,262826
375,1/17/2019,45:44.0, 000:03:06.101,262824
376,1/17/2019,45:44.2, 000:03:06.333,524969
377,1/17/2019,45:44.4, 000:03:06.457,524968
378,1/17/2019,45:44.6, 000:03:06.716,4194986
379,1/17/2019,45:45.4, 000:03:07.443,4196010
380,1/17/2019,45:45.4, 000:03:07.492,4198058
381,1/17/2019,45:46.4, 000:03:08.477,4196010
382,1/17/2019,45:46.7, 000:03:08.737,4211370
383,1/17/2019,45:47.7, 000:03:09.788,4194986
384,1/17/2019,45:48.1, 000:03:10.224,74410
385,1/17/2019,45:48.2, 000:03:10.301,74282
386,1/17/2019,45:48.3, 000:03:10.431,66090
387,1/17/2019,45:48.5, 000:03:10.566,618
388,1/17/2019,45:48.5, 000:03:10.622,554
389,1/17/2019,45:48.8, 000:03:10.859,682
390,1/17/2019,45:49.8, 000:03:11.862,1049258
391,1/17/2019,45:49.8, 000:03:11.927,1049250
392,1/17/2019,45:50.1, 000:03:12.199,2097830
393,1/17/2019,45:50.2, 000:03:12.316,2097826
394,1/17/2019,45:50.5, 000:03:12.597,4194986
395,1/17/2019,45:53.2, 000:03:15.326,4196010
396,1/17/2019,45:54.3, 000:03:16.403,4194986
397,1/17/2019,45:54.6, 000:03:16.642,148138
398,1/17/2019,45:54.6, 000:03:16.684,147626
399,1/17/2019,45:54.8, 000:03:16.851,131242
400,1/17/2019,45:54.9, 000:03:16.962,426
401,1/17/2019,45:54.9, 000:03:17.021,170
402,1/17/2019,45:55.2, 000:03:17.263,682
403,1/17/2019,45:56.2, 000:03:18.266,262826
404,1/17/2019,45:56.3, 000:03:18.368,262824
405,1/17/2019,45:56.5, 000:03:18.601,524969
406,1/17/2019,45:56.6, 000:03:18.731,524968
407,1/17/2019,45:56.9, 000:03:18.986,4194986
408,1/17/2019,45:57.6, 000:03:19.731,4198058
409,1/17/2019,45:58.7, 000:03:20.740,4196010
410,1/17/2019,45:58.7, 000:03:20.776,4194986
411,1/17/2019,45:59.0, 000:03:21.036,4211370
412,1/17/2019,46:00.0, 000:03:22.081,4194986
413,1/17/2019,46:00.4, 000:03:22.517,74410
414,1/17/2019,46:00.5, 000:03:22.594,74282
415,1/17/2019,46:00.6, 000:03:22.683,66090
416,1/17/2019,46:00.8, 000:03:22.859,618
417,1/17/2019,46:00.8, 000:03:22.914,554
418,1/17/2019,46:01.1, 000:03:23.152,682
419,1/17/2019,46:02.1, 000:03:24.154,1049258
420,1/17/2019,46:02.1, 000:03:24.221,1049250
421,1/17/2019,46:02.4, 000:03:24.488,2097830
422,1/17/2019,46:02.5, 000:03:24.603,2097826
423,1/17/2019,46:02.8, 000:03:24.882,4194986
424,1/17/2019,46:05.5, 000:03:27.617,4196010
425,1/17/2019,46:06.6, 000:03:28.683,4194986
426,1/17/2019,46:06.8, 000:03:28.923,148138
427,1/17/2019,46:06.9, 000:03:28.962,147626
428,1/17/2019,46:07.1, 000:03:29.138,131242
429,1/17/2019,46:07.2, 000:03:29.242,426
430,1/17/2019,46:07.2, 000:03:29.301,170
431,1/17/2019,46:07.5, 000:03:29.543,682
432,1/17/2019,46:08.5, 000:03:30.545,262826
433,1/17/2019,46:08.6, 000:03:30.648,262824
434,1/17/2019,46:08.8, 000:03:30.878,524969
435,1/17/2019,46:08.9, 000:03:31.004,524968
436,1/17/2019,46:09.2, 000:03:31.259,4194986
437,1/17/2019,46:09.9, 000:03:31.976,4197034
438,1/17/2019,46:10.0, 000:03:32.063,4198058
439,1/17/2019,46:10.0, 000:03:32.122,4197034
440,1/17/2019,46:10.1, 000:03:32.205,4198058
441,1/17/2019,46:10.8, 000:03:32.840,4197034
442,1/17/2019,46:10.9, 000:03:32.993,4194986
443,1/17/2019,46:11.2, 000:03:33.303,4211370
444,1/17/2019,46:12.2, 000:03:34.324,4194986
445,1/17/2019,46:12.7, 000:03:34.812,74410
446,1/17/2019,46:12.8, 000:03:34.890,74282
447,1/17/2019,46:13.0, 000:03:35.062,66090
448,1/17/2019,46:13.1, 000:03:35.155,618
449,1/17/2019,46:13.1, 000:03:35.212,554
450,1/17/2019,46:13.4, 000:03:35.448,682
451,1/17/2019,46:14.4, 000:03:36.450,1049258
452,1/17/2019,46:14.4, 000:03:36.514,1049250
453,1/17/2019,46:14.7, 000:03:36.779,2097830
454,1/17/2019,46:14.8, 000:03:36.890,2097826
455,1/17/2019,46:15.1, 000:03:37.171,4194986
456,1/17/2019,46:19.2, 000:03:41.280,4211370
457,1/17/2019,46:20.1, 000:03:42.215,4194986
458,1/17/2019,46:20.7, 000:03:42.757,4203178
459,1/17/2019,46:21.6, 000:03:43.689,4194986
460,1/17/2019,46:22.1, 000:03:44.211,37546
461,1/17/2019,46:22.2, 000:03:44.296,37514
462,1/17/2019,46:22.4, 000:03:44.435,33418
463,1/17/2019,46:22.5, 000:03:44.585,666
464,1/17/2019,46:22.6, 000:03:44.650,650
465,1/17/2019,46:22.8, 000:03:44.897,682
466,1/17/2019,46:23.8, 000:03:45.899,262826
467,1/17/2019,46:23.9, 000:03:46.006,262824
468,1/17/2019,46:24.2, 000:03:46.235,524969
469,1/17/2019,46:24.3, 000:03:46.365,524968
470,1/17/2019,46:24.5, 000:03:46.616,4194986
471,1/17/2019,46:25.3, 000:03:47.345,4197034
472,1/17/2019,46:25.3, 000:03:47.359,4198058
473,1/17/2019,46:26.3, 000:03:48.387,4196010
474,1/17/2019,46:26.3, 000:03:48.404,4194986
475,1/17/2019,46:26.6, 000:03:48.664,4211370
476,1/17/2019,46:27.6, 000:03:49.714,4194986
477,1/17/2019,46:28.1, 000:03:50.148,74410
478,1/17/2019,46:28.1, 000:03:50.226,74282
479,1/17/2019,46:28.2, 000:03:50.316,66090
480,1/17/2019,46:28.4, 000:03:50.490,618
481,1/17/2019,46:28.5, 000:03:50.545,554
482,1/17/2019,46:28.7, 000:03:50.782,682
483,1/17/2019,46:29.7, 000:03:51.785,1049258
484,1/17/2019,46:29.8, 000:03:51.859,1049250
485,1/17/2019,46:30.0, 000:03:52.117,2097830
486,1/17/2019,46:30.1, 000:03:52.227,2097826
487,1/17/2019,46:30.4, 000:03:52.510,4194986
488,1/17/2019,46:33.2, 000:03:55.258,4196010
489,1/17/2019,46:34.2, 000:03:56.331,4194986
490,1/17/2019,46:34.5, 000:03:56.567,148138
491,1/17/2019,46:34.5, 000:03:56.609,147626
492,1/17/2019,46:34.7, 000:03:56.780,131242
493,1/17/2019,46:34.8, 000:03:56.887,426
494,1/17/2019,46:34.9, 000:03:56.945,170
495,1/17/2019,46:35.1, 000:03:57.187,682
496,1/17/2019,46:36.1, 000:03:58.190,262826
497,1/17/2019,46:36.2, 000:03:58.293,262824
498,1/17/2019,46:36.4, 000:03:58.529,524969
499,1/17/2019,46:36.6, 000:03:58.660,524968
500,1/17/2019,46:36.8, 000:03:58.914,4194986
501,1/17/2019,46:37.6, 000:03:59.650,4196010
502,1/17/2019,46:37.7, 000:03:59.756,4198058
503,1/17/2019,46:38.5, 000:04:00.600,4196010
504,1/17/2019,46:38.6, 000:04:00.662,4194986
505,1/17/2019,46:38.9, 000:04:00.942,4211370
506,1/17/2019,46:39.9, 000:04:01.960,4194986
507,1/17/2019,46:40.4, 000:04:02.440,74410
508,1/17/2019,46:40.4, 000:04:02.514,74282
509,1/17/2019,46:40.6, 000:04:02.689,66090
