SeqNo,Date,UTC Time,Time,IOvector
252,1/17/2019,10:21.7, 000:03:26.663,148138
253,1/17/2019,10:21.8, 000:03:26.704,147626
254,1/17/2019,10:21.9, 000:03:26.870,131242
255,1/17/2019,10:22.0, 000:03:26.982,426
256,1/17/2019,10:22.1, 000:03:27.040,170
257,1/17/2019,10:22.3, 000:03:27.283,682
258,1/17/2019,10:23.3, 000:03:28.285,262826
259,1/17/2019,10:23.4, 000:03:28.389,262824
260,1/17/2019,10:23.7, 000:03:28.618,524969
261,1/17/2019,10:23.8, 000:03:28.746,524968
262,1/17/2019,10:24.1, 000:03:28.996,4194986
263,1/17/2019,10:24.8, 000:03:29.717,4197034
264,1/17/2019,10:24.8, 000:03:29.737,4198058
265,1/17/2019,10:25.8, 000:03:30.699,4196010
266,1/17/2019,10:25.8, 000:03:30.777,4194986
267,1/17/2019,10:26.1, 000:03:31.040,4211370
268,1/17/2019,10:27.1, 000:03:32.087,4194986
269,1/17/2019,10:27.6, 000:03:32.523,74410
270,1/17/2019,10:27.7, 000:03:32.598,74282
271,1/17/2019,10:27.8, 000:03:32.745,66090
272,1/17/2019,10:27.9, 000:03:32.865,618
273,1/17/2019,10:28.0, 000:03:32.920,554
274,1/17/2019,10:28.2, 000:03:33.158,682
275,1/17/2019,10:29.2, 000:03:34.160,1049258
276,1/17/2019,10:29.3, 000:03:34.224,1049250
277,1/17/2019,10:29.5, 000:03:34.486,2097830
278,1/17/2019,10:29.7, 000:03:34.597,2097826
279,1/17/2019,10:29.9, 000:03:34.876,4194986
280,1/17/2019,10:34.1, 000:03:39.007,4211370
281,1/17/2019,10:35.0, 000:03:39.928,4194986
282,1/17/2019,10:35.5, 000:03:40.479,4203178
283,1/17/2019,10:36.5, 000:03:41.406,4194986
284,1/17/2019,10:37.0, 000:03:41.937,37546
285,1/17/2019,10:37.1, 000:03:42.009,37514
286,1/17/2019,10:37.2, 000:03:42.123,33418
287,1/17/2019,10:37.4, 000:03:42.307,666
288,1/17/2019,10:37.4, 000:03:42.372,650
289,1/17/2019,10:37.7, 000:03:42.618,682
290,1/17/2019,10:38.7, 000:03:43.621,262826
291,1/17/2019,10:38.8, 000:03:43.721,262824
292,1/17/2019,10:39.0, 000:03:43.959,524969
293,1/17/2019,10:39.1, 000:03:44.092,524968
294,1/17/2019,10:39.4, 000:03:44.347,4194986
295,1/17/2019,10:40.1, 000:03:45.076,4196010
296,1/17/2019,10:40.7, 000:03:45.623,4196010
297,1/17/2019,10:41.0, 000:03:45.992,4194986
298,1/17/2019,10:41.1, 000:03:46.047,4196010
299,1/17/2019,10:41.2, 000:03:46.119,4194986
300,1/17/2019,10:41.5, 000:03:46.396,4211370
301,1/17/2019,10:42.5, 000:03:47.435,4194986
302,1/17/2019,10:42.9, 000:03:47.878,74410
303,1/17/2019,10:43.0, 000:03:47.955,74282
304,1/17/2019,10:43.2, 000:03:48.101,66090
305,1/17/2019,10:43.3, 000:03:48.220,618
306,1/17/2019,10:43.3, 000:03:48.275,554
307,1/17/2019,10:43.6, 000:03:48.513,682
308,1/17/2019,10:44.6, 000:03:49.515,1049258
309,1/17/2019,10:44.6, 000:03:49.578,1049250
310,1/17/2019,10:44.9, 000:03:49.843,2097830
311,1/17/2019,10:45.0, 000:03:49.954,2097826
312,1/17/2019,10:45.3, 000:03:50.235,4194986
313,1/17/2019,10:49.4, 000:03:54.351,4211370
314,1/17/2019,10:50.3, 000:03:55.289,4194986
315,1/17/2019,10:50.9, 000:03:55.829,4203178
316,1/17/2019,10:51.8, 000:03:56.761,4194986
317,1/17/2019,10:52.3, 000:03:57.282,37546
318,1/17/2019,10:52.4, 000:03:57.355,37514
319,1/17/2019,10:52.5, 000:03:57.461,33418
320,1/17/2019,10:52.7, 000:03:57.650,666
321,1/17/2019,10:52.8, 000:03:57.716,650
322,1/17/2019,10:53.0, 000:03:57.962,682
323,1/17/2019,10:54.0, 000:03:58.964,262826
324,1/17/2019,10:54.1, 000:03:59.072,262824
325,1/17/2019,10:54.3, 000:03:59.294,524969
326,1/17/2019,10:54.5, 000:03:59.423,524968
327,1/17/2019,10:54.7, 000:03:59.677,4194986
328,1/17/2019,10:55.5, 000:04:00.413,4197034
329,1/17/2019,10:55.5, 000:04:00.495,4198058
330,1/17/2019,10:55.6, 000:04:00.533,4197034
331,1/17/2019,10:55.7, 000:04:00.626,4198058
332,1/17/2019,10:56.3, 000:04:01.249,4197034
333,1/17/2019,10:56.4, 000:04:01.375,4194986
334,1/17/2019,10:56.8, 000:04:01.718,4211370
335,1/17/2019,10:57.8, 000:04:02.736,4194986
336,1/17/2019,10:58.3, 000:04:03.228,74410
337,1/17/2019,10:58.4, 000:04:03.309,74282
338,1/17/2019,10:58.6, 000:04:03.496,66090
339,1/17/2019,10:58.6, 000:04:03.572,618
340,1/17/2019,10:58.7, 000:04:03.629,554
341,1/17/2019,10:58.9, 000:04:03.866,682
342,1/17/2019,10:59.9, 000:04:04.868,1049258
343,1/17/2019,11:00.0, 000:04:04.932,1049250
344,1/17/2019,11:00.3, 000:04:05.198,2097830
345,1/17/2019,11:00.4, 000:04:05.308,2097826
346,1/17/2019,11:00.6, 000:04:05.591,4194986
347,1/17/2019,11:03.4, 000:04:08.323,4196010
348,1/17/2019,11:04.5, 000:04:09.399,4194986
349,1/17/2019,11:04.7, 000:04:09.642,148138
350,1/17/2019,11:04.7, 000:04:09.687,147626
351,1/17/2019,11:04.9, 000:04:09.852,131242
352,1/17/2019,11:05.0, 000:04:09.964,426
353,1/17/2019,11:05.1, 000:04:10.022,170
354,1/17/2019,11:05.3, 000:04:10.266,682
355,1/17/2019,11:06.3, 000:04:11.268,262826
356,1/17/2019,11:06.4, 000:04:11.375,262824
357,1/17/2019,11:06.7, 000:04:11.616,524969
358,1/17/2019,11:06.8, 000:04:11.749,524968
359,1/17/2019,11:07.1, 000:04:12.003,4194986
360,1/17/2019,11:07.8, 000:04:12.732,4196010
361,1/17/2019,11:08.8, 000:04:13.747,4196010
362,1/17/2019,11:08.8, 000:04:13.773,4194986
363,1/17/2019,11:09.1, 000:04:14.030,4211370
364,1/17/2019,11:10.1, 000:04:15.076,4194986
365,1/17/2019,11:10.6, 000:04:15.510,74410
366,1/17/2019,11:10.6, 000:04:15.591,74282
367,1/17/2019,11:10.8, 000:04:15.747,66090
368,1/17/2019,11:10.9, 000:04:15.854,618
369,1/17/2019,11:11.0, 000:04:15.910,554
370,1/17/2019,11:11.2, 000:04:16.147,682
371,1/17/2019,11:12.2, 000:04:17.150,1049258
372,1/17/2019,11:12.3, 000:04:17.210,1049250
373,1/17/2019,11:12.5, 000:04:17.482,2097830
374,1/17/2019,11:12.6, 000:04:17.594,2097826
375,1/17/2019,11:12.9, 000:04:17.874,4194986
376,1/17/2019,11:17.0, 000:04:21.979,4211370
377,1/17/2019,11:18.0, 000:04:22.910,4194986
378,1/17/2019,11:18.5, 000:04:23.450,4203178
379,1/17/2019,11:19.4, 000:04:24.384,4194986
380,1/17/2019,11:20.0, 000:04:24.908,37546
381,1/17/2019,11:20.0, 000:04:24.986,37514
382,1/17/2019,11:20.2, 000:04:25.126,33418
383,1/17/2019,11:20.3, 000:04:25.278,666
384,1/17/2019,11:20.4, 000:04:25.345,650
385,1/17/2019,11:20.6, 000:04:25.590,682
386,1/17/2019,11:21.6, 000:04:26.593,262826
387,1/17/2019,11:21.8, 000:04:26.697,262824
388,1/17/2019,11:22.0, 000:04:26.937,524969
389,1/17/2019,11:22.1, 000:04:27.066,524968
390,1/17/2019,11:22.4, 000:04:27.320,4194986
391,1/17/2019,11:23.1, 000:04:28.042,4196010
392,1/17/2019,11:23.1, 000:04:28.086,4198058
393,1/17/2019,11:24.1, 000:04:29.023,4196010
394,1/17/2019,11:24.1, 000:04:29.061,4194986
395,1/17/2019,11:24.4, 000:04:29.341,4211370
396,1/17/2019,11:25.4, 000:04:30.356,4194986
397,1/17/2019,11:25.9, 000:04:30.828,74410
398,1/17/2019,11:26.0, 000:04:30.912,74282
399,1/17/2019,11:26.1, 000:04:31.068,66090
400,1/17/2019,11:26.2, 000:04:31.172,618
401,1/17/2019,11:26.3, 000:04:31.227,554
402,1/17/2019,11:26.5, 000:04:31.464,682
403,1/17/2019,11:27.5, 000:04:32.466,1049258
404,1/17/2019,11:27.6, 000:04:32.538,1049250
405,1/17/2019,11:27.9, 000:04:32.800,2097830
406,1/17/2019,11:28.0, 000:04:32.918,2097826
407,1/17/2019,11:28.3, 000:04:33.199,4194986
408,1/17/2019,11:31.0, 000:04:35.943,4196010
409,1/17/2019,11:32.1, 000:04:37.016,4194986
410,1/17/2019,11:32.3, 000:04:37.250,148138
411,1/17/2019,11:32.3, 000:04:37.293,147626
412,1/17/2019,11:32.5, 000:04:37.479,131242
413,1/17/2019,11:32.6, 000:04:37.571,426
414,1/17/2019,11:32.7, 000:04:37.630,170
415,1/17/2019,11:32.9, 000:04:37.873,682
416,1/17/2019,11:33.9, 000:04:38.875,262826
417,1/17/2019,11:34.0, 000:04:38.980,262824
418,1/17/2019,11:34.3, 000:04:39.210,524969
419,1/17/2019,11:34.4, 000:04:39.340,524968
420,1/17/2019,11:34.6, 000:04:39.593,4194986
421,1/17/2019,11:35.4, 000:04:40.309,4197034
422,1/17/2019,11:35.4, 000:04:40.333,4198058
423,1/17/2019,11:36.4, 000:04:41.331,4196010
424,1/17/2019,11:36.4, 000:04:41.373,4194986
425,1/17/2019,11:36.7, 000:04:41.636,4211370
426,1/17/2019,11:37.7, 000:04:42.686,4194986
427,1/17/2019,11:38.2, 000:04:43.119,74410
428,1/17/2019,11:38.3, 000:04:43.200,74282
429,1/17/2019,11:38.4, 000:04:43.347,66090
430,1/17/2019,11:38.5, 000:04:43.461,618
431,1/17/2019,11:38.6, 000:04:43.517,554
432,1/17/2019,11:38.8, 000:04:43.754,682
433,1/17/2019,11:39.8, 000:04:44.757,1049258
434,1/17/2019,11:39.9, 000:04:44.821,1049250
435,1/17/2019,11:40.1, 000:04:45.093,2097830
436,1/17/2019,11:40.3, 000:04:45.216,2097826
437,1/17/2019,11:40.5, 000:04:45.493,4194986
438,1/17/2019,11:43.3, 000:04:48.243,4196010
439,1/17/2019,11:44.4, 000:04:49.307,4194986
440,1/17/2019,11:44.6, 000:04:49.551,148138
441,1/17/2019,11:44.6, 000:04:49.589,147626
442,1/17/2019,11:44.8, 000:04:49.758,131242
443,1/17/2019,11:44.9, 000:04:49.870,426
444,1/17/2019,11:45.0, 000:04:49.930,170
445,1/17/2019,11:45.2, 000:04:50.173,682
446,1/17/2019,11:46.2, 000:04:51.175,262826
447,1/17/2019,11:46.3, 000:04:51.283,262824
448,1/17/2019,11:46.6, 000:04:51.516,524969
449,1/17/2019,11:46.7, 000:04:51.650,524968
450,1/17/2019,11:47.0, 000:04:51.905,4194986
451,1/17/2019,11:47.7, 000:04:52.619,4198058
452,1/17/2019,11:48.3, 000:04:53.194,4196010
453,1/17/2019,11:48.6, 000:04:53.537,4194986
454,1/17/2019,11:48.6, 000:04:53.593,4196010
455,1/17/2019,11:48.7, 000:04:53.664,4194986
456,1/17/2019,11:49.0, 000:04:53.939,4211370
457,1/17/2019,11:50.0, 000:04:54.980,4194986
458,1/17/2019,11:50.5, 000:04:55.420,74410
459,1/17/2019,11:50.6, 000:04:55.501,74282
460,1/17/2019,11:50.7, 000:04:55.649,66090
461,1/17/2019,11:50.8, 000:04:55.762,618
462,1/17/2019,11:50.9, 000:04:55.820,554
463,1/17/2019,11:51.1, 000:04:56.056,682
464,1/17/2019,11:52.1, 000:04:57.058,1049258
465,1/17/2019,11:52.2, 000:04:57.124,1049250
466,1/17/2019,11:52.4, 000:04:57.391,2097830
467,1/17/2019,11:52.6, 000:04:57.504,2097826
468,1/17/2019,11:52.8, 000:04:57.782,4194986
469,1/17/2019,11:56.9, 000:05:01.890,4211370
470,1/17/2019,11:57.9, 000:05:02.818,4194986
471,1/17/2019,11:58.4, 000:05:03.368,4203178
472,1/17/2019,11:59.3, 000:05:04.292,4194986
473,1/17/2019,11:59.9, 000:05:04.821,37546
474,1/17/2019,12:00.0, 000:05:04.900,37514
475,1/17/2019,12:00.1, 000:05:05.028,33418
476,1/17/2019,12:00.2, 000:05:05.192,666
477,1/17/2019,12:00.3, 000:05:05.257,650
478,1/17/2019,12:00.6, 000:05:05.504,682
479,1/17/2019,12:01.6, 000:05:06.506,262826
480,1/17/2019,12:01.7, 000:05:06.617,262824
481,1/17/2019,12:01.9, 000:05:06.858,524969
482,1/17/2019,12:02.0, 000:05:06.989,524968
483,1/17/2019,12:02.3, 000:05:07.244,4194986
484,1/17/2019,12:03.3, 000:05:08.201,4196010
485,1/17/2019,12:03.4, 000:05:08.332,4198058
486,1/17/2019,12:03.9, 000:05:08.821,4197034
